LOG DE EXECUÇÃO

: programa  - CODIGO: 100 - PALAVRA ACEITA
: correto  - CODIGO: 117 - PALAVRA ACEITA
: inteiro  - CODIGO: 103 - PALAVRA ACEITA
: :  - CODIGO: 119 - PALAVRA ACEITA
: a  - CODIGO: 117 - PALAVRA ACEITA
: ,  - CODIGO: 120 - PALAVRA ACEITA
: b  - CODIGO: 117 - PALAVRA ACEITA
: ,  - CODIGO: 120 - PALAVRA ACEITA
: c  - CODIGO: 117 - PALAVRA ACEITA
: ;  - CODIGO: 118 - PALAVRA ACEITA
: booleano  - CODIGO: 104 - PALAVRA ACEITA
: :  - CODIGO: 119 - PALAVRA ACEITA
: d  - CODIGO: 117 - PALAVRA ACEITA
: ,  - CODIGO: 120 - PALAVRA ACEITA
: e  - CODIGO: 117 - PALAVRA ACEITA
: ,  - CODIGO: 120 - PALAVRA ACEITA
: f  - CODIGO: 117 - PALAVRA ACEITA
: ;  - CODIGO: 118 - PALAVRA ACEITA
: procedimento  - CODIGO: 101 - PALAVRA ACEITA
: pro  - CODIGO: 117 - PALAVRA ACEITA
: (  - CODIGO: 121 - PALAVRA ACEITA
: inteiro  - CODIGO: 103 - PALAVRA ACEITA
: :  - CODIGO: 119 - PALAVRA ACEITA
: a1  - CODIGO: 117 - PALAVRA ACEITA
: )  - CODIGO: 122 - PALAVRA ACEITA
: inteiro  - CODIGO: 103 - PALAVRA ACEITA
: :  - CODIGO: 119 - PALAVRA ACEITA
: a  - CODIGO: 117 - PALAVRA ACEITA
: ,  - CODIGO: 120 - PALAVRA ACEITA
: b  - CODIGO: 117 - PALAVRA ACEITA
: ,  - CODIGO: 120 - PALAVRA ACEITA
: c  - CODIGO: 117 - PALAVRA ACEITA
: ;  - CODIGO: 118 - PALAVRA ACEITA
: booleano  - CODIGO: 104 - PALAVRA ACEITA
: :  - CODIGO: 119 - PALAVRA ACEITA
: d  - CODIGO: 117 - PALAVRA ACEITA
: ,  - CODIGO: 120 - PALAVRA ACEITA
: e  - CODIGO: 117 - PALAVRA ACEITA
: ,  - CODIGO: 120 - PALAVRA ACEITA
: f  - CODIGO: 117 - PALAVRA ACEITA
: ;  - CODIGO: 118 - PALAVRA ACEITA
: a  - CODIGO: 117 - PALAVRA ACEITA
: =  - CODIGO: 132 - PALAVRA ACEITA
: 1  - CODIGO: 135 - PALAVRA ACEITA
: ;  - CODIGO: 118 - PALAVRA ACEITA
: se  - CODIGO: 105 - PALAVRA ACEITA
: (  - CODIGO: 121 - PALAVRA ACEITA
: a  - CODIGO: 117 - PALAVRA ACEITA
: <  - CODIGO: 127 - PALAVRA ACEITA
